type,delay,period,count,size,xmt,rcv,loss,timeouts,sample,avg
rach_based,30,35,285,56,285,0,100,285,1,
dynamicGrant,25,45,220,56,220,36,83,184,5,42.0
dynamicGrant,10,45,220,56,220,208,5,12,2,27.8
rach_based,20,45,220,56,220,113,48,107,3,37.0
dynamicGrant,15,55,180,56,180,167,7,13,1,34.6
dynamicGrant,15,45,220,56,220,150,31,70,4,33.8
rach_based,15,55,180,56,180,148,17,32,1,38.6
rach_based,25,45,220,56,220,12,94,208,3,43.4
Configured_grant,10,35,285,56,285,273,4,12,5,19.7
dynamicGrant,25,45,220,56,220,15,93,205,6,41.1
dynamicGrant,15,55,180,56,180,171,5,9,4,36.8
Configured_grant,20,35,285,56,285,71,75,214,2,32.6
rach_based,10,45,220,56,220,125,43,95,1,29.1
rach_based,10,45,220,56,220,206,6,14,2,27.3
Configured_grant,15,45,220,56,220,40,81,180,5,40.4
dynamicGrant,30,45,220,56,220,25,88,195,5,42.6
Configured_grant,20,45,220,56,220,164,25,56,2,31.3
Configured_grant,10,45,220,56,220,214,2,6,5,22.7
Configured_grant,20,35,285,56,285,32,88,253,1,33.2
rach_based,30,55,180,56,180,63,65,117,3,49.5
Configured_grant,15,45,220,56,221,160,27,61,1,33.2
dynamicGrant,25,55,180,56,180,95,47,85,5,44.8
Configured_grant,20,35,285,56,285,1,99,284,6,29.7
rach_based,20,55,180,56,180,118,34,62,1,41.5
rach_based,30,35,285,56,285,0,100,285,2,
rach_based,15,35,285,56,286,144,49,142,3,29.5
dynamicGrant,15,35,285,56,285,146,48,139,6,28.4
dynamicGrant,15,35,285,56,285,152,46,133,3,28.8
rach_based,30,55,180,56,180,11,93,169,1,51.1
rach_based,25,35,285,56,,,,,2,
dynamicGrant,20,45,220,56,220,135,38,85,6,37.7
dynamicGrant,15,55,180,56,180,164,8,16,1,36.1
dynamicGrant,20,55,180,56,180,130,27,50,1,39.4
dynamicGrant,30,45,220,56,220,0,100,220,1,
Configured_grant,15,55,180,56,180,164,8,16,2,38.8
dynamicGrant,15,45,220,56,220,138,37,82,2,33.7
Configured_grant,30,35,285,56,285,0,100,285,2,
dynamicGrant,25,55,180,56,180,4,97,176,2,51.0
dynamicGrant,30,55,180,56,180,55,69,125,2,51.1
Configured_grant,10,35,285,56,285,77,72,208,10,30.7
dynamicGrant,25,45,220,56,220,18,91,202,1,42.4
dynamicGrant,10,55,180,56,180,175,2,5,1,29.5
dynamicGrant,20,35,285,56,285,84,70,201,4,32.4
dynamicGrant,10,35,285,56,285,213,25,72,3,25.4
rach_based,20,55,180,56,180,132,26,48,2,40.0
dynamicGrant,15,45,220,56,220,162,26,58,3,32.9
Configured_grant,10,35,285,56,285,280,1,5,6,19.8
dynamicGrant,10,35,285,56,285,231,18,54,1,26.6
dynamicGrant,30,55,180,56,180,82,54,98,1,50.0
rach_based,25,55,180,56,180,73,59,107,1,49.4
dynamicGrant,30,55,180,56,180,31,82,149,2,51.2
dynamicGrant,20,35,285,56,285,3,98,282,1,33.4
Configured_grant,10,55,180,56,180,159,11,21,3,30.8
dynamicGrant,15,55,180,56,180,175,2,5,6,34.1
Configured_grant,10,55,180,56,180,170,5,10,2,28.5
rach_based,25,45,220,56,220,58,73,162,1,41.8
Configured_grant,20,35,285,56,285,1,99,284,3,32.4
dynamicGrant,30,45,220,56,220,5,97,215,3,44.0
rach_based,15,55,180,56,180,154,14,26,2,35.5
dynamicGrant,25,35,285,56,285,1,99,284,1,34.5
rach_based,25,35,285,56,285,0,100,285,1,
dynamicGrant,20,35,285,56,285,58,79,227,2,33.0
dynamicGrant,15,55,180,56,180,172,4,8,5,33.6
dynamicGrant,10,55,180,56,180,177,1,3,3,29.8
dynamicGrant,25,35,285,56,285,0,100,285,2,
dynamicGrant,30,35,285,56,285,0,100,285,1,
rach_based,10,45,220,56,220,206,6,14,3,27.1
dynamicGrant,10,35,285,56,285,183,35,102,1,25.9
Configured_grant,25,45,220,56,220,71,67,149,1,41.1
Configured_grant,25,55,180,56,180,50,72,130,5,43.2
