192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], timed out (NaN avg, 100% loss)
192.168.72.135 : [2], timed out (NaN avg, 100% loss)
192.168.72.135 : [3], timed out (NaN avg, 100% loss)
192.168.72.135 : [4], timed out (NaN avg, 100% loss)
192.168.72.135 : [5], timed out (NaN avg, 100% loss)
192.168.72.135 : [6], timed out (NaN avg, 100% loss)
192.168.72.135 : [7], 64 bytes, 39.1 ms (39.1 avg, 87% loss)
192.168.72.135 : [8], 64 bytes, 34.1 ms (36.6 avg, 77% loss)
192.168.72.135 : [9], 64 bytes, 29.1 ms (34.1 avg, 70% loss)
192.168.72.135 : [10], 64 bytes, 21.2 ms (30.9 avg, 63% loss)
192.168.72.135 : [11], 64 bytes, 24.6 ms (29.6 avg, 58% loss)
192.168.72.135 : [12], 64 bytes, 42.1 ms (31.7 avg, 53% loss)
192.168.72.135 : [13], 64 bytes, 40.4 ms (32.9 avg, 50% loss)
192.168.72.135 : [14], 64 bytes, 38.4 ms (33.6 avg, 46% loss)
192.168.72.135 : [15], 64 bytes, 34.9 ms (33.8 avg, 43% loss)
192.168.72.135 : [16], 64 bytes, 36.5 ms (34.0 avg, 41% loss)
192.168.72.135 : [17], 64 bytes, 32.8 ms (33.9 avg, 38% loss)
192.168.72.135 : [18], 64 bytes, 30.8 ms (33.7 avg, 36% loss)
192.168.72.135 : [19], 64 bytes, 30.9 ms (33.4 avg, 35% loss)
192.168.72.135 : [20], 64 bytes, 28.2 ms (33.1 avg, 33% loss)
192.168.72.135 : [21], 64 bytes, 34.0 ms (33.1 avg, 31% loss)
192.168.72.135 : [22], 64 bytes, 28.5 ms (32.8 avg, 30% loss)
192.168.72.135 : [23], 64 bytes, 25.0 ms (32.4 avg, 29% loss)
192.168.72.135 : [24], 64 bytes, 22.7 ms (31.8 avg, 28% loss)
192.168.72.135 : [25], 64 bytes, 21.4 ms (31.3 avg, 26% loss)
192.168.72.135 : [26], 64 bytes, 40.9 ms (31.8 avg, 25% loss)
192.168.72.135 : [27], 64 bytes, 36.9 ms (32.0 avg, 25% loss)
192.168.72.135 : [28], 64 bytes, 33.4 ms (32.1 avg, 24% loss)
192.168.72.135 : [29], 64 bytes, 28.5 ms (31.9 avg, 23% loss)
192.168.72.135 : [30], 64 bytes, 23.9 ms (31.6 avg, 22% loss)
192.168.72.135 : [31], 64 bytes, 24.4 ms (31.3 avg, 21% loss)
192.168.72.135 : [32], 64 bytes, 25.9 ms (31.1 avg, 21% loss)
192.168.72.135 : [33], 64 bytes, 26.2 ms (30.9 avg, 20% loss)
192.168.72.135 : [34], 64 bytes, 20.1 ms (30.5 avg, 20% loss)
192.168.72.135 : [35], 64 bytes, 23.3 ms (30.3 avg, 19% loss)
192.168.72.135 : [36], 64 bytes, 41.2 ms (30.6 avg, 18% loss)
192.168.72.135 : [37], 64 bytes, 38.6 ms (30.9 avg, 18% loss)
192.168.72.135 : [38], 64 bytes, 31.5 ms (30.9 avg, 17% loss)
192.168.72.135 : [39], 64 bytes, 26.7 ms (30.8 avg, 17% loss)
192.168.72.135 : [40], 64 bytes, 22.5 ms (30.5 avg, 17% loss)
192.168.72.135 : [41], 64 bytes, 20.1 ms (30.2 avg, 16% loss)
192.168.72.135 : [42], 64 bytes, 19.0 ms (29.9 avg, 16% loss)
192.168.72.135 : [43], 64 bytes, 19.4 ms (29.6 avg, 15% loss)
192.168.72.135 : [44], 64 bytes, 17.1 ms (29.3 avg, 15% loss)
192.168.72.135 : [45], 64 bytes, 18.0 ms (29.0 avg, 15% loss)
192.168.72.135 : [46], 64 bytes, 37.2 ms (29.2 avg, 14% loss)
192.168.72.135 : [47], 64 bytes, 34.2 ms (29.3 avg, 14% loss)
192.168.72.135 : [48], 64 bytes, 34.9 ms (29.5 avg, 14% loss)
192.168.72.135 : [49], 64 bytes, 40.7 ms (29.7 avg, 14% loss)
192.168.72.135 : [50], 64 bytes, 26.8 ms (29.7 avg, 13% loss)
192.168.72.135 : [51], 64 bytes, 26.3 ms (29.6 avg, 13% loss)
192.168.72.135 : [52], 64 bytes, 26.7 ms (29.5 avg, 13% loss)
192.168.72.135 : [53], 64 bytes, 23.0 ms (29.4 avg, 12% loss)
192.168.72.135 : [54], 64 bytes, 23.8 ms (29.3 avg, 12% loss)
192.168.72.135 : [55], 64 bytes, 28.2 ms (29.3 avg, 12% loss)
192.168.72.135 : [56], 64 bytes, 27.2 ms (29.2 avg, 12% loss)
192.168.72.135 : [57], 64 bytes, 21.1 ms (29.1 avg, 12% loss)
192.168.72.135 : [58], 64 bytes, 15.1 ms (28.8 avg, 11% loss)
192.168.72.135 : [59], 64 bytes, 20.5 ms (28.6 avg, 11% loss)
192.168.72.135 : [60], 64 bytes, 36.7 ms (28.8 avg, 11% loss)
192.168.72.135 : [61], 64 bytes, 29.9 ms (28.8 avg, 11% loss)
192.168.72.135 : [62], 64 bytes, 29.8 ms (28.8 avg, 11% loss)
192.168.72.135 : [63], 64 bytes, 21.9 ms (28.7 avg, 10% loss)
192.168.72.135 : [64], 64 bytes, 21.6 ms (28.6 avg, 10% loss)
192.168.72.135 : [65], 64 bytes, 22.8 ms (28.5 avg, 10% loss)
192.168.72.135 : [66], 64 bytes, 19.0 ms (28.3 avg, 10% loss)
192.168.72.135 : [67], 64 bytes, 21.8 ms (28.2 avg, 10% loss)
192.168.72.135 : [68], 64 bytes, 19.8 ms (28.1 avg, 10% loss)
192.168.72.135 : [69], 64 bytes, 21.1 ms (28.0 avg, 10% loss)
192.168.72.135 : [70], timed out (28.0 avg, 11% loss)
192.168.72.135 : [71], 64 bytes, 32.4 ms (28.0 avg, 11% loss)
192.168.72.135 : [72], 64 bytes, 37.9 ms (28.2 avg, 10% loss)
192.168.72.135 : [73], 64 bytes, 26.6 ms (28.2 avg, 10% loss)
192.168.72.135 : [74], 64 bytes, 23.1 ms (28.1 avg, 10% loss)
192.168.72.135 : [75], 64 bytes, 23.5 ms (28.0 avg, 10% loss)
192.168.72.135 : [76], 64 bytes, 21.4 ms (27.9 avg, 10% loss)
192.168.72.135 : [77], 64 bytes, 19.6 ms (27.8 avg, 10% loss)
192.168.72.135 : [78], 64 bytes, 22.1 ms (27.7 avg, 10% loss)
192.168.72.135 : [79], 64 bytes, 21.1 ms (27.6 avg, 10% loss)
192.168.72.135 : [80], 64 bytes, 20.5 ms (27.5 avg, 9% loss)
192.168.72.135 : [81], 64 bytes, 18.8 ms (27.4 avg, 9% loss)
192.168.72.135 : [82], 64 bytes, 20.0 ms (27.3 avg, 9% loss)
192.168.72.135 : [83], 64 bytes, 38.2 ms (27.5 avg, 9% loss)
192.168.72.135 : [84], 64 bytes, 30.4 ms (27.5 avg, 9% loss)
192.168.72.135 : [85], 64 bytes, 30.6 ms (27.5 avg, 9% loss)
192.168.72.135 : [86], 64 bytes, 23.7 ms (27.5 avg, 9% loss)
192.168.72.135 : [87], 64 bytes, 28.1 ms (27.5 avg, 9% loss)
192.168.72.135 : [88], 64 bytes, 28.8 ms (27.5 avg, 8% loss)
192.168.72.135 : [89], 64 bytes, 25.9 ms (27.5 avg, 8% loss)
192.168.72.135 : [90], 64 bytes, 25.2 ms (27.5 avg, 8% loss)
192.168.72.135 : [91], 64 bytes, 21.3 ms (27.4 avg, 8% loss)
192.168.72.135 : [92], 64 bytes, 21.3 ms (27.3 avg, 8% loss)
192.168.72.135 : [93], 64 bytes, 23.3 ms (27.3 avg, 8% loss)
192.168.72.135 : [94], 64 bytes, 21.7 ms (27.2 avg, 8% loss)
192.168.72.135 : [95], 64 bytes, 18.6 ms (27.1 avg, 8% loss)
192.168.72.135 : [96], 64 bytes, 20.3 ms (27.0 avg, 8% loss)
192.168.72.135 : [97], 64 bytes, 37.5 ms (27.2 avg, 8% loss)
192.168.72.135 : [98], 64 bytes, 37.3 ms (27.3 avg, 8% loss)
192.168.72.135 : [99], 64 bytes, 28.0 ms (27.3 avg, 8% loss)
192.168.72.135 : [100], 64 bytes, 19.0 ms (27.2 avg, 7% loss)
192.168.72.135 : [101], 64 bytes, 42.6 ms (27.4 avg, 7% loss)
192.168.72.135 : [102], 64 bytes, 40.1 ms (27.5 avg, 7% loss)
192.168.72.135 : [103], 64 bytes, 27.1 ms (27.5 avg, 7% loss)
192.168.72.135 : [104], 64 bytes, 22.8 ms (27.4 avg, 7% loss)
192.168.72.135 : [105], 64 bytes, 20.5 ms (27.4 avg, 7% loss)
192.168.72.135 : [106], 64 bytes, 20.9 ms (27.3 avg, 7% loss)
192.168.72.135 : [107], 64 bytes, 23.7 ms (27.3 avg, 7% loss)
192.168.72.135 : [108], 64 bytes, 20.6 ms (27.2 avg, 7% loss)
192.168.72.135 : [109], 64 bytes, 17.3 ms (27.1 avg, 7% loss)
192.168.72.135 : [110], 64 bytes, 19.7 ms (27.0 avg, 7% loss)
192.168.72.135 : [111], 64 bytes, 43.0 ms (27.2 avg, 7% loss)
192.168.72.135 : [112], 64 bytes, 36.2 ms (27.3 avg, 7% loss)
192.168.72.135 : [113], 64 bytes, 24.8 ms (27.2 avg, 7% loss)
192.168.72.135 : [114], 64 bytes, 27.1 ms (27.2 avg, 6% loss)
