192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], timed out (NaN avg, 100% loss)
192.168.72.135 : [2], 64 bytes, 43.3 ms (43.3 avg, 66% loss)
192.168.72.135 : [3], 64 bytes, 51.0 ms (47.2 avg, 50% loss)
192.168.72.135 : [4], 64 bytes, 49.1 ms (47.8 avg, 40% loss)
192.168.72.135 : [5], 64 bytes, 40.7 ms (46.0 avg, 33% loss)
192.168.72.135 : [6], 64 bytes, 23.1 ms (41.4 avg, 28% loss)
192.168.72.135 : [7], 64 bytes, 24.1 ms (38.5 avg, 25% loss)
192.168.72.135 : [8], 64 bytes, 45.3 ms (39.5 avg, 22% loss)
192.168.72.135 : [9], 64 bytes, 30.6 ms (38.4 avg, 20% loss)
192.168.72.135 : [10], 64 bytes, 38.6 ms (38.4 avg, 18% loss)
192.168.72.135 : [11], 64 bytes, 27.1 ms (37.3 avg, 16% loss)
192.168.72.135 : [12], 64 bytes, 41.7 ms (37.7 avg, 15% loss)
192.168.72.135 : [13], 64 bytes, 32.0 ms (37.2 avg, 14% loss)
192.168.72.135 : [14], 64 bytes, 33.3 ms (36.9 avg, 13% loss)
192.168.72.135 : [15], 64 bytes, 22.9 ms (35.9 avg, 12% loss)
192.168.72.135 : [16], 64 bytes, 41.5 ms (36.3 avg, 11% loss)
192.168.72.135 : [17], 64 bytes, 24.1 ms (35.5 avg, 11% loss)
192.168.72.135 : [18], 64 bytes, 43.9 ms (36.0 avg, 10% loss)
192.168.72.135 : [19], 64 bytes, 30.1 ms (35.7 avg, 10% loss)
192.168.72.135 : [20], 64 bytes, 24.8 ms (35.1 avg, 9% loss)
192.168.72.135 : [21], 64 bytes, 23.5 ms (34.5 avg, 9% loss)
192.168.72.135 : [22], 64 bytes, 22.5 ms (34.0 avg, 8% loss)
192.168.72.135 : [23], 64 bytes, 19.0 ms (33.3 avg, 8% loss)
192.168.72.135 : [24], 64 bytes, 43.5 ms (33.7 avg, 8% loss)
192.168.72.135 : [25], 64 bytes, 28.4 ms (33.5 avg, 7% loss)
192.168.72.135 : [26], 64 bytes, 38.6 ms (33.7 avg, 7% loss)
192.168.72.135 : [27], 64 bytes, 29.8 ms (33.6 avg, 7% loss)
192.168.72.135 : [28], 64 bytes, 36.3 ms (33.7 avg, 6% loss)
192.168.72.135 : [29], 64 bytes, 24.2 ms (33.3 avg, 6% loss)
192.168.72.135 : [30], 64 bytes, 20.1 ms (32.9 avg, 6% loss)
192.168.72.135 : [31], 64 bytes, 18.2 ms (32.4 avg, 6% loss)
192.168.72.135 : [32], 64 bytes, 25.5 ms (32.2 avg, 6% loss)
192.168.72.135 : [33], 64 bytes, 19.7 ms (31.8 avg, 5% loss)
192.168.72.135 : [34], 64 bytes, 32.4 ms (31.8 avg, 5% loss)
192.168.72.135 : [35], 64 bytes, 20.5 ms (31.4 avg, 5% loss)
192.168.72.135 : [36], 64 bytes, 33.2 ms (31.5 avg, 5% loss)
192.168.72.135 : [37], 64 bytes, 18.8 ms (31.1 avg, 5% loss)
192.168.72.135 : [38], 64 bytes, 47.3 ms (31.6 avg, 5% loss)
192.168.72.135 : [39], 64 bytes, 34.9 ms (31.7 avg, 5% loss)
192.168.72.135 : [40], 64 bytes, 21.5 ms (31.4 avg, 4% loss)
192.168.72.135 : [41], 64 bytes, 28.9 ms (31.3 avg, 4% loss)
192.168.72.135 : [42], 64 bytes, 19.4 ms (31.1 avg, 4% loss)
192.168.72.135 : [43], 64 bytes, 47.8 ms (31.5 avg, 4% loss)
192.168.72.135 : [44], 64 bytes, 31.7 ms (31.5 avg, 4% loss)
192.168.72.135 : [45], 64 bytes, 20.5 ms (31.2 avg, 4% loss)
192.168.72.135 : [46], 64 bytes, 20.3 ms (31.0 avg, 4% loss)
192.168.72.135 : [47], 64 bytes, 43.1 ms (31.2 avg, 4% loss)
192.168.72.135 : [48], 64 bytes, 27.5 ms (31.2 avg, 4% loss)
192.168.72.135 : [49], 64 bytes, 22.7 ms (31.0 avg, 4% loss)
192.168.72.135 : [50], 64 bytes, 20.3 ms (30.8 avg, 3% loss)
192.168.72.135 : [51], 64 bytes, 20.9 ms (30.6 avg, 3% loss)
192.168.72.135 : [52], 64 bytes, 22.1 ms (30.4 avg, 3% loss)
192.168.72.135 : [53], 64 bytes, 20.9 ms (30.2 avg, 3% loss)
192.168.72.135 : [54], 64 bytes, 22.8 ms (30.1 avg, 3% loss)
192.168.72.135 : [55], 64 bytes, 42.2 ms (30.3 avg, 3% loss)
192.168.72.135 : [56], 64 bytes, 28.3 ms (30.3 avg, 3% loss)
192.168.72.135 : [57], 64 bytes, 18.4 ms (30.1 avg, 3% loss)
192.168.72.135 : [58], 64 bytes, 21.3 ms (29.9 avg, 3% loss)
192.168.72.135 : [59], 64 bytes, 35.1 ms (30.0 avg, 3% loss)
192.168.72.135 : [60], 64 bytes, 18.5 ms (29.8 avg, 3% loss)
192.168.72.135 : [61], 64 bytes, 46.8 ms (30.1 avg, 3% loss)
192.168.72.135 : [62], 64 bytes, 28.6 ms (30.1 avg, 3% loss)
192.168.72.135 : [63], 64 bytes, 37.4 ms (30.2 avg, 3% loss)
192.168.72.135 : [64], 64 bytes, 25.9 ms (30.1 avg, 3% loss)
192.168.72.135 : [65], 64 bytes, 40.1 ms (30.3 avg, 3% loss)
192.168.72.135 : [66], 64 bytes, 31.4 ms (30.3 avg, 2% loss)
192.168.72.135 : [67], 64 bytes, 23.2 ms (30.2 avg, 2% loss)
