192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], timed out (NaN avg, 100% loss)
192.168.72.135 : [2], timed out (NaN avg, 100% loss)
192.168.72.135 : [3], timed out (NaN avg, 100% loss)
192.168.72.135 : [4], 64 bytes, 45.8 ms (45.8 avg, 80% loss)
192.168.72.135 : [5], 64 bytes, 35.5 ms (40.6 avg, 66% loss)
192.168.72.135 : [6], 64 bytes, 41.0 ms (40.7 avg, 57% loss)
192.168.72.135 : [7], 64 bytes, 43.5 ms (41.4 avg, 50% loss)
192.168.72.135 : [8], timed out (41.4 avg, 55% loss)
192.168.72.135 : [9], 64 bytes, 27.9 ms (38.7 avg, 50% loss)
192.168.72.135 : [10], 64 bytes, 35.6 ms (38.2 avg, 45% loss)
192.168.72.135 : [11], 64 bytes, 36.2 ms (37.9 avg, 41% loss)
192.168.72.135 : [12], 64 bytes, 43.3 ms (38.6 avg, 38% loss)
192.168.72.135 : [13], timed out (38.6 avg, 42% loss)
192.168.72.135 : [14], timed out (38.6 avg, 46% loss)
192.168.72.135 : [15], 64 bytes, 54.0 ms (40.3 avg, 43% loss)
192.168.72.135 : [16], 64 bytes, 50.4 ms (41.3 avg, 41% loss)
192.168.72.135 : [17], timed out (41.3 avg, 44% loss)
192.168.72.135 : [18], timed out (41.3 avg, 47% loss)
192.168.72.135 : [19], 64 bytes, 28.2 ms (40.1 avg, 45% loss)
192.168.72.135 : [20], timed out (40.1 avg, 47% loss)
192.168.72.135 : [21], 64 bytes, 51.8 ms (41.1 avg, 45% loss)
192.168.72.135 : [22], 64 bytes, 51.7 ms (41.9 avg, 43% loss)
192.168.72.135 : [23], timed out (41.9 avg, 45% loss)
192.168.72.135 : [24], timed out (41.9 avg, 48% loss)
192.168.72.135 : [25], timed out (41.9 avg, 50% loss)
192.168.72.135 : [26], 64 bytes, 39.2 ms (41.7 avg, 48% loss)
192.168.72.135 : [27], 64 bytes, 51.8 ms (42.4 avg, 46% loss)
192.168.72.135 : [28], timed out (42.4 avg, 48% loss)
192.168.72.135 : [29], 64 bytes, 51.4 ms (43.0 avg, 46% loss)
192.168.72.135 : [30], timed out (43.0 avg, 48% loss)
192.168.72.135 : [31], 64 bytes, 50.2 ms (43.4 avg, 46% loss)
192.168.72.135 : [32], 64 bytes, 49.5 ms (43.7 avg, 45% loss)
192.168.72.135 : [33], 64 bytes, 49.7 ms (44.0 avg, 44% loss)
192.168.72.135 : [34], timed out (44.0 avg, 45% loss)
192.168.72.135 : [35], 64 bytes, 42.8 ms (44.0 avg, 44% loss)
192.168.72.135 : [36], 64 bytes, 45.3 ms (44.0 avg, 43% loss)
192.168.72.135 : [37], 64 bytes, 46.7 ms (44.2 avg, 42% loss)
192.168.72.135 : [38], 64 bytes, 23.8 ms (43.3 avg, 41% loss)
192.168.72.135 : [39], 64 bytes, 23.3 ms (42.4 avg, 40% loss)
192.168.72.135 : [40], 64 bytes, 24.2 ms (41.7 avg, 39% loss)
192.168.72.135 : [41], 64 bytes, 51.4 ms (42.1 avg, 38% loss)
192.168.72.135 : [42], 64 bytes, 46.1 ms (42.2 avg, 37% loss)
192.168.72.135 : [43], 64 bytes, 27.1 ms (41.7 avg, 36% loss)
192.168.72.135 : [44], 64 bytes, 41.6 ms (41.7 avg, 35% loss)
192.168.72.135 : [45], 64 bytes, 43.9 ms (41.8 avg, 34% loss)
192.168.72.135 : [46], 64 bytes, 28.8 ms (41.3 avg, 34% loss)
192.168.72.135 : [47], 64 bytes, 29.0 ms (41.0 avg, 33% loss)
192.168.72.135 : [48], 64 bytes, 33.5 ms (40.7 avg, 32% loss)
192.168.72.135 : [49], 64 bytes, 39.2 ms (40.7 avg, 32% loss)
192.168.72.135 : [50], 64 bytes, 38.2 ms (40.6 avg, 31% loss)
192.168.72.135 : [51], 64 bytes, 35.5 ms (40.5 avg, 30% loss)
192.168.72.135 : [52], 64 bytes, 31.8 ms (40.2 avg, 30% loss)
192.168.72.135 : [53], 64 bytes, 42.9 ms (40.3 avg, 29% loss)
192.168.72.135 : [54], 64 bytes, 40.5 ms (40.3 avg, 29% loss)
192.168.72.135 : [55], 64 bytes, 37.3 ms (40.2 avg, 28% loss)
192.168.72.135 : [56], 64 bytes, 34.5 ms (40.1 avg, 28% loss)
192.168.72.135 : [57], 64 bytes, 37.8 ms (40.0 avg, 27% loss)
192.168.72.135 : [58], 64 bytes, 36.8 ms (40.0 avg, 27% loss)
192.168.72.135 : [59], 64 bytes, 37.2 ms (39.9 avg, 26% loss)
192.168.72.135 : [60], 64 bytes, 37.5 ms (39.8 avg, 26% loss)
192.168.72.135 : [61], 64 bytes, 38.2 ms (39.8 avg, 25% loss)
192.168.72.135 : [62], 64 bytes, 38.1 ms (39.8 avg, 25% loss)
