192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], timed out (NaN avg, 100% loss)
192.168.72.135 : [2], timed out (NaN avg, 100% loss)
192.168.72.135 : [3], timed out (NaN avg, 100% loss)
192.168.72.135 : [4], timed out (NaN avg, 100% loss)
192.168.72.135 : [5], 64 bytes, 44.6 ms (44.6 avg, 83% loss)
192.168.72.135 : [6], 64 bytes, 34.3 ms (39.5 avg, 71% loss)
192.168.72.135 : [7], 64 bytes, 36.6 ms (38.5 avg, 62% loss)
192.168.72.135 : [8], 64 bytes, 39.3 ms (38.7 avg, 55% loss)
192.168.72.135 : [9], 64 bytes, 36.3 ms (38.2 avg, 50% loss)
192.168.72.135 : [10], 64 bytes, 43.6 ms (39.1 avg, 45% loss)
192.168.72.135 : [11], 64 bytes, 39.0 ms (39.1 avg, 41% loss)
192.168.72.135 : [12], 64 bytes, 36.0 ms (38.7 avg, 38% loss)
192.168.72.135 : [13], 64 bytes, 38.3 ms (38.7 avg, 35% loss)
192.168.72.135 : [14], 64 bytes, 40.7 ms (38.9 avg, 33% loss)
192.168.72.135 : [15], 64 bytes, 33.8 ms (38.4 avg, 31% loss)
192.168.72.135 : [16], 64 bytes, 37.6 ms (38.3 avg, 29% loss)
192.168.72.135 : [17], 64 bytes, 38.9 ms (38.4 avg, 27% loss)
192.168.72.135 : [18], 64 bytes, 35.7 ms (38.2 avg, 26% loss)
192.168.72.135 : [19], 64 bytes, 38.1 ms (38.2 avg, 25% loss)
192.168.72.135 : [20], 64 bytes, 44.2 ms (38.6 avg, 23% loss)
192.168.72.135 : [21], 64 bytes, 39.1 ms (38.6 avg, 22% loss)
192.168.72.135 : [22], 64 bytes, 39.4 ms (38.6 avg, 21% loss)
192.168.72.135 : [23], 64 bytes, 37.8 ms (38.6 avg, 20% loss)
192.168.72.135 : [24], 64 bytes, 42.3 ms (38.8 avg, 20% loss)
192.168.72.135 : [25], 64 bytes, 39.7 ms (38.8 avg, 19% loss)
192.168.72.135 : [26], 64 bytes, 37.8 ms (38.8 avg, 18% loss)
192.168.72.135 : [27], 64 bytes, 35.7 ms (38.6 avg, 17% loss)
192.168.72.135 : [28], 64 bytes, 41.7 ms (38.8 avg, 17% loss)
192.168.72.135 : [29], 64 bytes, 37.2 ms (38.7 avg, 16% loss)
192.168.72.135 : [30], 64 bytes, 37.0 ms (38.6 avg, 16% loss)
192.168.72.135 : [31], 64 bytes, 36.0 ms (38.5 avg, 15% loss)
192.168.72.135 : [32], timed out (38.5 avg, 18% loss)
192.168.72.135 : [33], 64 bytes, 43.0 ms (38.7 avg, 17% loss)
192.168.72.135 : [34], 64 bytes, 38.8 ms (38.7 avg, 17% loss)
192.168.72.135 : [35], 64 bytes, 31.9 ms (38.5 avg, 16% loss)
192.168.72.135 : [36], 64 bytes, 38.3 ms (38.5 avg, 16% loss)
192.168.72.135 : [37], 64 bytes, 44.7 ms (38.7 avg, 15% loss)
192.168.72.135 : [38], 64 bytes, 34.0 ms (38.5 avg, 15% loss)
192.168.72.135 : [39], 64 bytes, 32.3 ms (38.3 avg, 15% loss)
192.168.72.135 : [40], 64 bytes, 36.6 ms (38.3 avg, 14% loss)
192.168.72.135 : [41], 64 bytes, 34.6 ms (38.2 avg, 14% loss)
192.168.72.135 : [42], 64 bytes, 35.2 ms (38.1 avg, 13% loss)
192.168.72.135 : [43], 64 bytes, 32.6 ms (38.0 avg, 13% loss)
192.168.72.135 : [44], 64 bytes, 36.0 ms (37.9 avg, 13% loss)
192.168.72.135 : [45], timed out (37.9 avg, 15% loss)
192.168.72.135 : [46], timed out (37.9 avg, 17% loss)
192.168.72.135 : [47], 64 bytes, 35.5 ms (37.9 avg, 16% loss)
192.168.72.135 : [48], 64 bytes, 34.7 ms (37.8 avg, 16% loss)
192.168.72.135 : [49], 64 bytes, 35.1 ms (37.7 avg, 16% loss)
192.168.72.135 : [50], 64 bytes, 36.9 ms (37.7 avg, 15% loss)
192.168.72.135 : [51], 64 bytes, 36.3 ms (37.7 avg, 15% loss)
192.168.72.135 : [52], 64 bytes, 31.7 ms (37.5 avg, 15% loss)
192.168.72.135 : [53], 64 bytes, 35.4 ms (37.5 avg, 14% loss)
192.168.72.135 : [54], 64 bytes, 32.8 ms (37.4 avg, 14% loss)
192.168.72.135 : [55], 64 bytes, 36.3 ms (37.4 avg, 14% loss)
192.168.72.135 : [56], 64 bytes, 34.9 ms (37.3 avg, 14% loss)
192.168.72.135 : [57], 64 bytes, 31.9 ms (37.2 avg, 13% loss)
192.168.72.135 : [58], 64 bytes, 34.9 ms (37.2 avg, 13% loss)
192.168.72.135 : [59], 64 bytes, 34.1 ms (37.1 avg, 13% loss)
192.168.72.135 : [60], 64 bytes, 31.2 ms (37.0 avg, 13% loss)
192.168.72.135 : [61], 64 bytes, 33.2 ms (36.9 avg, 12% loss)
192.168.72.135 : [62], 64 bytes, 33.3 ms (36.9 avg, 12% loss)
192.168.72.135 : [63], 64 bytes, 33.7 ms (36.8 avg, 12% loss)
192.168.72.135 : [64], 64 bytes, 35.8 ms (36.8 avg, 12% loss)
192.168.72.135 : [65], 64 bytes, 33.4 ms (36.7 avg, 12% loss)
192.168.72.135 : [66], 64 bytes, 32.2 ms (36.6 avg, 11% loss)
192.168.72.135 : [67], 64 bytes, 37.0 ms (36.6 avg, 11% loss)
192.168.72.135 : [68], 64 bytes, 33.4 ms (36.6 avg, 11% loss)
192.168.72.135 : [69], 64 bytes, 34.6 ms (36.6 avg, 11% loss)
192.168.72.135 : [70], 64 bytes, 34.3 ms (36.5 avg, 11% loss)
192.168.72.135 : [71], 64 bytes, 39.0 ms (36.6 avg, 11% loss)
192.168.72.135 : [72], 64 bytes, 33.4 ms (36.5 avg, 10% loss)
